Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Discount Amount,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Channel,Priority,Payment Method,Storage Capacity,Storage Type,RAM,Purchase Date,Ship Date
Africa,Egypt,Alexandria,Benjis Tech,5,MSI,GP65 Leopard,Jeffrey,Stone,(267)895-2531,matthewmartinez@example.net,Evan Scott,Second-hand Sales,24380,28403,885,0,960,27688,0,456,Offline,High,Bank Transfer,500GB,SSD,4GB,1/6/2022,N/A
Africa,Nigeria,Ondo,Frankies Hardware and Software,10,Lenovo,ThinkPad T14,Matthew,Gibson,920-791-5868,crobles@example.org,Pamela Morgan,Second-hand Sales,19436,24118,948,0,67,19697,0,511,Offline,Low,Cash,500GB,SSD,2GB,3/18/2023,N/A
North America,Texas,Abilene,XYZ Tech,8,Dell,G Series,Melanie,Rodriguez,690-238-1566x4669,kathystone@example.com,Amanda Brown,Repairs,15585,18860,497,3297,335,16779,0,640,Offline,High,Bank Transfer,500GB,HDD,16GB,4/8/2021,N/A
North America,Ohio,Cleveland,Greens Laptops and PCs,8,Apple,Apple Mac Pro,Lindsey,Rogers,488.542.9693,kathleenkim@example.net,Molly Johns,Second-hand Sales,4981,8669,123,0,984,5881,0,566,Offline,High,Cash,1TB,SSD,8GB,5/4/2021,N/A
Africa,Tanzania,Tanga,GH PC Shop,5,Samsung,Notebook Flash,Rhonda,Martinez,(403)223-1083x521,craigstewart@example.net,Corey Rasmussen,Second-hand Sales,4498,6985,393,0,296,6761,762,458,Online,Medium,Finance,500GB,HDD,8GB,9/9/2023,9/15/2023
Africa,Ghana,Volta,LJ Computers,4,Samsung,Notebook 9 Pro,Denise,Cortez,(241)067-2379x5322,brianmann@example.org,Jonathan Miller,Second-hand Sales,13336,17523,181,0,473,14520,0,827,Offline,Medium,Cash,1TB,SSD,4GB,8/17/2022,N/A
North America,Illinois,Hoffman Estates,GHI Machines,1,Acer,Aspire 5,Kathryn,Wilson,(989)953-2643,rsingleton@example.com,Ashley Jones,New Sales,18277,22010,664,0,524,19224,0,554,Online,Low,Bank Transfer,256GB,HDD,16GB,12/30/2022,1/8/2023
Africa,Angola,Benguela,LJ Computers,8,Microsoft,Surface Book,Roy,Wright,001-080-835-1853,kimberly65@example.org,Kimberly Duncan,Repairs,8257,12751,339,1437,844,9272,0,585,Offline,Low,Bank Transfer,500GB,HDD,16GB,10/17/2023,N/A
North America,Illinois,Peoria,CK Tech Store,3,Acer,Predator Triton 500,Scott,Ochoa,(097)052-3420x54410,sarahwest@example.net,Katie Fernandez,Second-hand Sales,5041,9895,659,0,577,9417,0,717,Online,Low,Bank Transfer,1TB,SSD,8GB,11/10/2022,11/17/2022
Africa,Ghana,Ashanti,Ricks Computers,7,Dell,XPS,Andrew,Aguirre,4474902568,eanderson@example.net,Kevin Lee,Returns,7874,10027,51,0,663,9501,0,758,Offline,High,Cash,500GB,SSD,2GB,6/26/2023,N/A
North America,Michigan,Holland,CK Tech Store,6,HP,ZBook,Jeremy,Moore,(950)740-3707x581,rcortez@example.org,Teresa Martin,Repairs,10332,12353,346,1552,593,10989,28820,513,Offline,Medium,Finance,1TB,HDD,16GB,9/28/2023,N/A
North America,Texas,Frisco,Western International PCs,3,Lenovo,ThinkPad P15s,Melinda,Acosta,(106)149-6610,gonzalesbrittany@example.com,Melanie Taylor,Second-hand Sales,23215,28099,842,0,575,27692,0,619,Online,Medium,Bank Transfer,500GB,SSD,8GB,12/30/2021,1/19/2022
North America,Florida,Fort Lauderdale,ABC Computers,4,Samsung,Notebook 5,Bradley,Smith,001-260-049-4780x749,hayesmary@example.com,Alexis Murray,Second-hand Sales,11067,13772,702,0,654,12981,0,781,Offline,Low,Bank Transfer,256GB,HDD,4GB,6/28/2022,N/A
North America,Texas,San Antonio,A & A PCs,10,Toshiba,Tecra,Michael,Pittman,649-883-7170x3918,ybishop@example.com,Ashley Wright,Second-hand Sales,21702,26259,435,0,181,22226,0,612,Online,Low,Cash,256GB,HDD,8GB,6/16/2021,6/24/2021
North America,Illinois,Arlington Heights,XYZ Tech,5,Toshiba,Tecra,Jesus,Adams,162-329-8603,hoffmanstephanie@example.net,Amanda Mitchell,Repairs,8532,10940,279,1271,289,9422,11087,787,Offline,Medium,Finance,1TB,SSD,2GB,4/25/2023,N/A
Africa,South Africa,Eastern Cape,GH PC Shop,6,Apple,Apple Macintosh Classic,Paul,Braun,(374)319-0699x3412,brittanyrodriguez@example.com,Erin Williams,New Sales,13166,16513,60,0,733,14121,0,571,Offline,High,Cash,500GB,HDD,16GB,9/26/2022,N/A
North America,Texas,Waco,ABC Computers,10,Dell,G Series,Thomas,Morrison,(217)053-0800x46894,bcraig@example.com,Laurie Wright,Repairs,29303,34280,630,4944,690,30323,0,677,Offline,High,Bank Transfer,1TB,HDD,4GB,6/3/2022,N/A
North America,New York,Buffalo,Frankies Hardware and Software,4,HP,Pavilion,David,Bell,929-177-3519x8311,youngmarcus@example.net,Victoria Hodges,New Sales,10045,14393,716,0,826,12673,21037,565,Online,Medium,Finance,500GB,SSD,4GB,2/16/2024,3/14/2024
Africa,Egypt,Qena,XYZ Tech,6,HP,ZBook,Casey,Vaughn,+1-205-962-2217x24984,rgray@example.net,Robert Hudson,Second-hand Sales,8089,10378,206,0,353,8896,5449,664,Offline,Low,Finance,500GB,SSD,16GB,2/13/2022,N/A
Africa,Egypt,Luxor,DEF Machines,2,Samsung,Notebook 9 Pro,Chelsea,Boone,+1-005-714-8259x26951,ethanlynn@example.com,Mario Daniel,New Sales,24507,29349,595,0,867,24735,18537,639,Online,Medium,Finance,500GB,HDD,16GB,11/7/2022,11/16/2022
Africa,Morocco,Al Haouz,KyaSand Tech Gadgets,4,HP,Envy,Crystal,Smith,001-003-120-1794x67119,cvazquez@example.org,Justin Kemp,Returns,16347,18563,410,0,745,16437,0,586,Offline,Low,Cash,256GB,SSD,8GB,5/20/2023,N/A
Africa,Botswana,Kweneng,LJ Computers,10,Microsoft,Surface Duo,Wendy,Serrano,480.217.1403x8284,justingonzales@example.net,Michael Byrd,New Sales,23521,28288,746,0,918,26958,0,438,Online,High,Bank Transfer,256GB,HDD,8GB,3/28/2022,4/6/2022
Africa,South Africa,Gauteng,XYZ Tech,3,MSI,P65 Creator,Jennifer,Griffin,7849435776,andrew34@example.com,Erin Williams,Second-hand Sales,16087,19104,351,0,113,18865,0,476,Offline,Medium,Bank Transfer,500GB,SSD,4GB,9/3/2022,N/A
Africa,Morocco,Guelmim-Oued Noun,S & A Computer Place,8,HP,Elitebook,Albert,Oneal,973-236-8113x3126,sean90@example.net,Brian Johnson,Returns,18643,21891,567,0,385,21209,44497,733,Offline,Medium,Finance,256GB,HDD,8GB,5/9/2022,N/A
Africa,Ghana,Upper East,Frankies Hardware and Software,8,Microsoft,Surface Hub,Jim,Mejia,4937764222,nmiller@example.org,Sheila Nichols,New Sales,18528,21265,759,0,865,20395,0,478,Online,Medium,Bank Transfer,1TB,HDD,16GB,10/31/2023,11/9/2023
Africa,South Africa,Western Cape,Mini Tech,5,Samsung,Notebook Odyssey,Donna,Lawrence,001-295-390-3904,james67@example.org,Jonathan Huang,Second-hand Sales,4563,8313,876,0,739,5568,0,737,Online,Medium,Cash,256GB,SSD,16GB,6/27/2022,7/11/2022
Africa,Morocco,Fahs Anjra,Greens Laptops and PCs,4,MSI,GE76 Raider,Lynn,Wilkinson,9102146058,manuel16@example.org,Brian Johnson,Second-hand Sales,11773,15843,474,0,677,12531,0,709,Offline,Low,Bank Transfer,1TB,SSD,16GB,2/1/2023,N/A
Africa,Ghana,Eastern,A & A PCs,1,Acer,Aspire 7,Amber,White,+1-969-334-1243x291,michelle57@example.net,Sheila Nichols,Repairs,19687,22064,103,2704,910,21049,0,426,Offline,Low,Cash,256GB,SSD,2GB,8/17/2021,N/A
Africa,Kenya,Kwale,Frankies Hardware and Software,2,Samsung,Notebook 5,Tristan,Garcia,(763)900-5860,lmoses@example.net,Christopher Santos,New Sales,19198,23792,564,0,158,23539,0,614,Online,Medium,Cash,1TB,SSD,2GB,9/26/2023,10/24/2023
Africa,Morocco,Boujdour,GH PC Shop,8,Asus,ROG Zephyrus S GX701,Ryan,Martinez,(982)787-8789,adamsmith@example.org,Justin Kemp,Repairs,5428,9175,610,1339,476,6910,3781,679,Offline,Low,Finance,500GB,HDD,16GB,7/14/2022,N/A
North America,North Carolina,Mooresville,Greens Laptops and PCs,4,Dell,G Series,Nicholas,Todd,4439671642,sandersjulie@example.org,Tony Valenzuela,Returns,24691,27238,743,0,528,26768,0,609,Online,High,Cash,1TB,HDD,8GB,12/1/2022,12/23/2022
Africa,Ghana,Upper East,GHI Machines,7,MSI,P65 Creator,Lisa,Stevenson,001-469-473-6821x2363,justin03@example.net,Jessica Morgan,Second-hand Sales,18278,22375,68,0,82,20688,0,719,Online,Low,Bank Transfer,500GB,HDD,4GB,12/15/2022,12/23/2022
North America,New York,Long Beach,ABC Computers,7,Apple,Apple Mac Pro,Matthew,Clark,464.789.4654x6013,sanderskevin@example.org,Sean Guerrero,Second-hand Sales,2806,5173,890,0,515,4159,0,493,Offline,High,Bank Transfer,500GB,SSD,4GB,10/20/2023,N/A
North America,North Carolina,Asheville,Western International PCs,1,HP,Spectre,Christian,Cole,964.236.2606x2250,brandon80@example.net,Morgan Moore,New Sales,25417,29085,826,0,946,25855,0,439,Offline,Low,Bank Transfer,256GB,HDD,8GB,5/28/2023,N/A
North America,Ohio,Cleveland,XYZ Tech,8,Dell,G Series,Carrie,Hodges,-4532,smithdaniel@example.com,Mr. Nathan Douglas,Returns,4317,8711,796,0,966,6274,0,839,Offline,Low,Bank Transfer,500GB,SSD,16GB,11/4/2021,N/A
Africa,Morocco,Sidi Slimane,KyaSand Tech Gadgets,4,Asus,Chromebook Flip C434,Aaron,Miller,827.137.3600,hernandezmark@example.com,Emma Scott,Repairs,13387,15514,212,3222,948,14921,0,417,Offline,Low,Bank Transfer,256GB,HDD,16GB,6/11/2023,N/A
North America,New York,Buffalo,GHI Machines,10,Acer,Aspire E 15,Lindsay,Foster,(961)494-7942,matthew44@example.org,Sean Guerrero,Returns,28731,33413,768,0,234,33397,0,497,Offline,Low,Cash,1TB,HDD,8GB,10/27/2022,N/A
Africa,Ghana,Volta,XYZ Tech,2,MSI,Modern 15,Kimberly,Jones,3133087850,williamsonjean@example.net,Kevin Lee,Returns,20271,22789,170,0,841,21444,0,827,Online,High,Cash,1TB,SSD,16GB,12/3/2022,12/5/2022
Africa,Egypt,Damietta,Frankies Hardware and Software,7,Asus,Chromebook Flip C434,Sharon,Wallace,001-788-955-2958x04487,angela22@example.net,Jeffrey Nelson,Repairs,11005,14997,202,4971,651,11951,16507,802,Online,Medium,Finance,500GB,HDD,8GB,7/20/2021,8/9/2021
North America,Texas,Midland,Benjis Tech,3,Lenovo,IdeaCentre AIO 3,Glenn,Reynolds,001-567-375-9510x4110,carterkeith@example.org,Laurie Wright,Second-hand Sales,14641,19246,712,0,84,14724,0,682,Offline,Low,Bank Transfer,1TB,SSD,8GB,9/27/2021,N/A
Africa,Tanzania,Singida,XYZ Tech,4,Acer,Predator Triton 500,Marissa,Bauer,-3610,patrickkoch@example.net,Jennifer Morales,Second-hand Sales,26467,31369,917,0,809,27267,0,574,Offline,Medium,Cash,500GB,HDD,8GB,9/1/2023,N/A
North America,Georgia,Douglasville,Western International PCs,9,MSI,GP76 Leopard,Bruce,Rowe,067.453.2903,brandonhernandez@example.com,Kimberly Smith,New Sales,18747,21928,378,0,278,21360,0,555,Online,High,Bank Transfer,1TB,SSD,4GB,3/21/2023,4/6/2023
North America,North Carolina,Hickory,Benjis Tech,3,Apple,Apple Lisa,Ryan,Daniels,282.932.2998,ifreeman@example.org,Tamara Clark,Repairs,4083,7007,515,3103,954,6939,4328,717,Online,High,Finance,1TB,SSD,2GB,7/16/2022,7/18/2022
Africa,Tanzania,Mbeya,GH PC Shop,9,HP,Omen,Ashley,Ellis,(293)195-3267,vking@example.net,Antonio Cobb,Second-hand Sales,13581,16227,190,0,688,15848,15612,443,Online,High,Finance,500GB,HDD,2GB,7/12/2023,8/11/2023
North America,Florida,Davie,Benjis Tech,4,Asus,ProArt StudioBook Pro X,Victoria,Russell,(005)499-7137,tyler13@example.net,Mark Evans,Returns,18836,20883,653,0,353,19841,45981,850,Online,Medium,Finance,256GB,HDD,8GB,8/17/2023,9/4/2023
Africa,Angola,Huambo,Mini Tech,8,Asus,ZenBook UX425,Jeremy,Mejia,399.862.4797x6808,usnyder@example.org,Kimberly Duncan,Returns,9353,13704,640,0,546,10320,49829,688,Offline,Low,Finance,1TB,HDD,8GB,10/10/2023,N/A
Africa,Morocco,Casablanca-Settat,S & A Computer Place,1,Asus,ROG Zephyrus S GX701,Patty,Holt,+1-244-868-1993x64468,cchavez@example.com,John Whitney,New Sales,23189,25845,550,0,446,24582,0,499,Offline,Low,Bank Transfer,500GB,SSD,8GB,11/11/2021,N/A
Africa,Morocco,Khenifra,DEF Machines,3,Acer,Aspire 7,Christina,Acosta,001-003-336-4548x8250,danielmartin@example.org,Brian Johnson,Second-hand Sales,14443,16716,343,0,795,15201,0,471,Online,Low,Bank Transfer,500GB,HDD,8GB,6/30/2022,7/23/2022
Africa,Botswana,Kgatleng,ABC Computers,7,Samsung,Chromebook 4,Kathleen,Walker,(789)033-5129,caseyparsons@example.com,Sarah Riley,Second-hand Sales,5268,8074,700,0,536,7657,0,841,Offline,Medium,Cash,500GB,SSD,2GB,10/14/2023,N/A
North America,California,San Diego,Ricks Computers,5,MSI,GS66 Stealth,Amy,Arnold,998-521-2041x1154,wooderica@example.net,Ryan Bradley,Returns,13882,16343,778,0,170,15211,0,818,Offline,Low,Bank Transfer,256GB,SSD,2GB,6/30/2022,N/A
North America,Texas,Fort Worth,Jacks Hardware,5,MSI,Alpha 15,Kelly,Bentley,881.624.4495,hlopez@example.com,Diana Rodriguez,New Sales,25103,28473,852,0,388,25982,0,582,Offline,Medium,Bank Transfer,256GB,HDD,4GB,2/19/2023,N/A
Africa,Ghana,Central,ABC Computers,1,Apple,Apple MacBook Air,Joann,Hernandez,001-303-065-3469,tyler29@example.org,George Morales,Returns,26587,29298,818,0,468,28240,7313,514,Online,High,Finance,500GB,SSD,2GB,12/28/2021,1/22/2022
Africa,Ghana,Northern,Western International PCs,7,Asus,ROG Zephyrus S GX701,Juan,Moody,505-364-3653x79474,chenmatthew@example.org,Diana Ashley MD,New Sales,4201,7473,923,0,92,6046,0,545,Offline,Medium,Bank Transfer,256GB,SSD,8GB,3/18/2021,N/A
North America,Florida,Deltona,Ricks Computers,1,Acer,Chromebook Spin 311,Barry,Brown,001-448-282-5284,melissadavis@example.org,Rachel Rowe,New Sales,4749,9484,453,0,474,9112,23369,595,Online,Low,Finance,500GB,SSD,2GB,9/7/2021,9/18/2021
North America,Pennsylvania,Reading,Ricks Computers,5,HP,Pavilion,Brianna,Brown,594.077.2010,wigginsdenise@example.org,Carl Davis,Repairs,23464,26857,193,1547,112,25684,4675,655,Offline,Medium,Finance,1TB,SSD,4GB,3/16/2023,N/A
Africa,Egypt,Ismailia,Mini Tech,8,Acer,Spin 5,Cynthia,Johnson,934.699.0088x16285,itaylor@example.org,Evan Scott,Returns,20646,25607,170,0,394,24945,0,403,Online,Low,Cash,500GB,SSD,16GB,11/11/2023,11/28/2023
North America,California,Bakersfield,LJ Computers,9,Samsung,Notebook Flash,Alexis,Johnson,306-438-7480,ncruz@example.com,Linda Perez,Second-hand Sales,3460,5650,593,0,254,3935,0,624,Offline,Medium,Cash,256GB,SSD,8GB,2/2/2022,N/A
North America,Michigan,Saginaw,DEF Machines,7,Toshiba,Qosmio,Mark,Reynolds,6383473868,christylove@example.com,Allen Juarez,Returns,20090,22526,173,0,289,21575,0,641,Offline,Low,Cash,256GB,HDD,16GB,4/5/2023,N/A
North America,Michigan,Jackson,Mini Tech,1,Samsung,Notebook 9,Haley,Johnson,+1-326-755-5281x80393,thomas15@example.com,Michael Gomez,Second-hand Sales,4593,6953,490,0,959,6487,38378,482,Online,Medium,Finance,500GB,HDD,2GB,3/8/2022,3/27/2022
North America,New York,Albany,Western International PCs,1,Apple,Apple iMac,Michael,Hanson,014.617.2076x63663,grobinson@example.org,Natalie Jimenez,New Sales,7951,10170,260,0,744,8624,0,701,Online,Medium,Bank Transfer,500GB,SSD,16GB,7/18/2021,8/9/2021
North America,California,Chula Vista,A & A PCs,6,Apple,Apple Mac Pro,Jodi,Stewart,414-673-7161x1838,zmayer@example.org,Larry Smith,Second-hand Sales,5663,10256,270,0,350,5692,19353,442,Online,Low,Finance,500GB,HDD,4GB,6/13/2022,6/19/2022
North America,Michigan,East Lansing,GHI Machines,5,MSI,GS66 Stealth,Nicholas,Jensen,+1-814-204-8513x5595,jenniferhansen@example.net,Tiffany Velez,Second-hand Sales,9122,14020,271,0,649,11170,0,619,Offline,Medium,Cash,1TB,HDD,2GB,11/27/2022,N/A
Africa,Ghana,Western,GHI Machines,1,Acer,ConceptD 5,Sheena,Williams,(438)488-0963x4328,alicia18@example.org,Sheila Nichols,New Sales,24482,27292,39,0,662,25550,40484,450,Offline,Medium,Finance,1TB,HDD,16GB,2/18/2022,N/A
Africa,Nigeria,Lagos,Ricks Computers,9,Acer,Nitro 5,Jennifer,Taylor,658.387.7294x85553,elizabeth51@example.org,Randy Dillon,Second-hand Sales,6631,11466,915,0,563,8539,29307,570,Online,Low,Finance,256GB,SSD,2GB,6/21/2021,7/19/2021
North America,California,Fremont,DEF Machines,9,Lenovo,IdeaPad Flex 5,Christopher,Mcmahon,918-796-4338,michaelstevens@example.net,Ryan Bradley,Returns,9596,14131,315,0,303,11928,0,586,Offline,High,Bank Transfer,500GB,SSD,16GB,3/4/2023,N/A
North America,Illinois,Bloomington,Western International PCs,8,Lenovo,IdeaPad 5,Gina,Washington,-2747,christinabyrd@example.com,Amanda Mitchell,Second-hand Sales,8356,12321,291,0,305,9828,19212,713,Offline,Low,Finance,256GB,SSD,4GB,8/26/2022,N/A
North America,Florida,Tallahassee,ABC Computers,5,Lenovo,ThinkCentre M920 Tiny,James,Johnson,118-638-5905,ekemp@example.net,William Macdonald,Repairs,14370,18453,298,1873,27,17193,0,817,Online,Low,Bank Transfer,500GB,SSD,16GB,10/14/2021,10/21/2021
Africa,Angola,Moxico,GH PC Shop,3,Microsoft,Surface Duo,Wendy,Mayer,9368163247,gfox@example.net,Kenneth Willis,Returns,7231,10789,231,0,105,9063,39443,414,Online,Medium,Finance,500GB,SSD,4GB,7/20/2023,8/13/2023
North America,California,San Diego,Benjis Tech,2,Dell,Venue,Rebecca,Mitchell,906-545-0742,douglashaley@example.com,Sean Rodriguez,Returns,5386,9282,963,0,419,7752,21266,799,Offline,Low,Finance,500GB,SSD,2GB,2/13/2023,N/A
North America,Pennsylvania,Harrisburg,S & A Computer Place,3,Dell,OptiPlex,Allison,Frank,068-974-7237x582,brivas@example.net,Michael Smith,Returns,6927,11469,584,0,19,11125,0,511,Offline,Low,Cash,1TB,HDD,4GB,8/14/2023,N/A
North America,Illinois,Orland Park,Jacks Hardware,2,MSI,GE76 Raider,Cynthia,Smith,847129069,lori80@example.com,Jason Phillips,Repairs,22107,27024,667,4923,101,25533,9058,600,Online,Low,Finance,500GB,SSD,4GB,5/18/2023,5/25/2023
North America,Ohio,Lakewood,Frankies Hardware and Software,8,Apple,Apple Macintosh SE,Lindsey,Murphy,708.775.6903x932,williamhuang@example.net,Mr. Nathan Douglas,Repairs,21086,24084,948,4542,767,21420,0,778,Online,High,Bank Transfer,256GB,HDD,4GB,1/2/2024,1/17/2024
North America,Ohio,Westerville,XYZ Tech,1,Toshiba,Tecra,Valerie,Rivas,668-371-4449x2490,fjackson@example.org,Erin Tucker,Second-hand Sales,14349,18555,28,0,936,15692,0,744,Offline,High,Bank Transfer,1TB,HDD,16GB,6/4/2022,N/A
North America,North Carolina,Statesville,Benjis Tech,10,Acer,ConceptD 5,Andrea,Willis,001-174-815-9084x56319,andrew77@example.net,Brady Walton,Second-hand Sales,9767,13362,620,0,452,10225,0,482,Online,Low,Bank Transfer,500GB,HDD,8GB,11/2/2021,11/19/2021
North America,California,Irvine,LJ Computers,3,Microsoft,Surface Go,Lauren,Young,+1-766-710-8960x1703,melissasantos@example.org,Joy Holt,Second-hand Sales,6985,9201,151,0,990,7484,2655,430,Online,Low,Finance,500GB,SSD,8GB,3/21/2022,4/6/2022
North America,Georgia,Alpharetta,Jacks Hardware,6,HP,ZBook,Robert,Clay,+1-396-426-9960x68528,sosawilliam@example.org,Christine Ramirez,Second-hand Sales,10014,14034,190,0,565,11281,0,849,Online,High,Cash,256GB,SSD,2GB,8/7/2022,8/13/2022
North America,Georgia,Kennesaw,Western International PCs,9,Microsoft,Surface Book,Ronald,Hernandez,113.730.8303x113,smithcarlos@example.net,Jacqueline Rice,Returns,25612,28944,857,0,852,27873,0,539,Online,Low,Cash,256GB,HDD,2GB,6/1/2023,6/30/2023
North America,Ohio,Fairfield,KyaSand Tech Gadgets,9,Toshiba,Portege,Tiffany,Smith,(943)789-2774x1086,leewilliam@example.org,Max Mccann,Second-hand Sales,5080,7332,461,0,78,6802,0,418,Online,Low,Cash,500GB,HDD,2GB,11/30/2022,12/17/2022
Africa,Kenya,Meru,Benjis Tech,8,Samsung,Notebook 9 Pen,Richard,Berg,(692)196-5637x23599,jennifer33@example.net,Christopher Santos,Repairs,25852,29830,343,1794,935,29346,0,812,Offline,Medium,Cash,256GB,SSD,16GB,12/17/2023,N/A
North America,Texas,Frisco,Western International PCs,1,Toshiba,Chromebook,Jeffrey,Wright,210.385.6260x225,moorelisa@example.net,Melanie Taylor,Second-hand Sales,26905,31801,905,0,518,30221,0,681,Online,Medium,Cash,1TB,HDD,8GB,8/9/2021,8/26/2021
North America,New York,Rochester,Ricks Computers,1,Dell,Latitude,Rose,Wolfe,+1-751-206-0073x4078,zfowler@example.net,Kelsey Olson,Repairs,13249,16078,326,1471,865,13448,0,612,Offline,Medium,Bank Transfer,1TB,HDD,2GB,4/27/2022,N/A
North America,Ohio,Newark,ABC Computers,9,Asus,TUF Gaming A15,Brandon,Farrell,644781294,wanderson@example.net,Jason Gentry,New Sales,12826,17042,943,0,508,14072,0,810,Online,High,Bank Transfer,1TB,HDD,2GB,8/9/2021,8/20/2021
North America,Ohio,Toledo,ABC Computers,2,Lenovo,ThinkPad X1 Carbon,Jordan,Reeves,745.449.9504,scottpatton@example.com,Ann Johnson,New Sales,15611,17945,963,0,858,17929,0,580,Online,Low,Cash,500GB,SSD,16GB,3/14/2021,4/12/2021
Africa,Botswana,North-West,Ricks Computers,5,MSI,Alpha 15,Hannah,Harris,001-017-542-7675x976,owensanna@example.org,Melissa Dunn,Second-hand Sales,26863,29090,533,0,308,26910,0,723,Online,High,Cash,500GB,HDD,4GB,3/3/2024,3/22/2024
Africa,Angola,Cabinda,KyaSand Tech Gadgets,8,Lenovo,ThinkCentre M920 Tiny,James,Hamilton,001-300-497-8977,fernandezkathleen@example.net,Brian Clarke,Second-hand Sales,26466,30472,559,0,152,29513,0,753,Offline,High,Bank Transfer,256GB,SSD,2GB,11/27/2021,N/A
Africa,Ethiopia,Gambela,Frankies Hardware and Software,2,Microsoft,Surface Neo,Ashley,Everett,-5329,thomaspatrick@example.org,Kenneth Herring,Repairs,9284,14198,900,4945,257,13559,0,840,Offline,Medium,Cash,500GB,HDD,8GB,1/14/2023,N/A
North America,Georgia,Marietta,KyaSand Tech Gadgets,6,Samsung,Chromebook 4,Jill,Mueller,-1316,robert44@example.com,Chris Jones,New Sales,16950,21334,757,0,413,21015,0,706,Online,Medium,Cash,500GB,SSD,2GB,4/9/2023,5/1/2023
North America,North Carolina,Havelock,KyaSand Tech Gadgets,3,Apple,Apple MacBook Pro,Mike,Bennett,(765)367-5954,austin13@example.org,Craig Wheeler,New Sales,26397,31019,732,0,975,29212,0,511,Offline,High,Cash,256GB,HDD,8GB,11/29/2023,N/A
Africa,Egypt,Beni Suef,ABC Computers,9,Dell,XPS,Ann,Hancock,-9866,sarah84@example.net,Allison Gilbert,Repairs,7364,10483,604,2275,58,8132,39606,833,Online,High,Finance,256GB,SSD,2GB,12/11/2023,12/19/2023
North America,Texas,Midland,ABC Computers,4,Apple,Apple Macintosh SE,Sandra,Miller,015.493.4435,levinestacey@example.net,Melanie Taylor,Second-hand Sales,5503,7550,677,0,65,5708,34464,493,Offline,Medium,Finance,500GB,SSD,16GB,9/23/2022,N/A
Africa,Botswana,Kgatleng,CK Tech Store,8,Microsoft,Surface Go,Kristin,Cross,001-090-660-2335,jonesmatthew@example.com,Carrie Gonzalez,Second-hand Sales,23814,27821,1000,0,736,27223,0,604,Offline,High,Bank Transfer,500GB,HDD,8GB,10/8/2021,N/A
Africa,Botswana,Kgatleng,ABC Computers,6,Toshiba,Satellite,Melinda,Becker,369.542.7197x3693,patriciacampbell@example.net,Sarah Riley,Repairs,15600,19901,67,1605,168,18569,8856,621,Offline,Low,Finance,1TB,HDD,8GB,7/29/2023,N/A
Africa,Ethiopia,Dire Dawa,XYZ Tech,8,Apple,Apple iMac,Elizabeth,Jones,412-908-3192,abbottandre@example.org,Kenneth Herring,Returns,8142,12375,647,0,550,9087,0,668,Online,Low,Cash,1TB,SSD,16GB,2/22/2022,3/11/2022
North America,North Carolina,Cary,Greens Laptops and PCs,2,Microsoft,Surface Go,Arthur,Miller,4039419147,maryhart@example.org,Catherine Cuevas,New Sales,22010,24803,817,0,56,22240,34112,826,Online,Low,Finance,500GB,HDD,4GB,10/7/2021,10/25/2021
North America,Illinois,Peoria,Greens Laptops and PCs,3,Apple,Apple Macintosh Classic,Bryan,Khan,001-503-584-5373x1097,vasquezteresa@example.org,Ashley Jones,Repairs,12766,15186,796,3915,564,13174,0,785,Online,Medium,Cash,1TB,HDD,16GB,9/23/2023,10/1/2023
North America,Pennsylvania,Wilkes-Barre,A & A PCs,1,Microsoft,Surface Book,John,Woods,638-726-7449,erik93@example.net,Lisa Graham,New Sales,15082,17521,399,0,929,15221,0,638,Offline,Low,Bank Transfer,256GB,HDD,4GB,7/17/2022,N/A
North America,Ohio,Reynoldsburg,XYZ Tech,1,Lenovo,ThinkPad T14,Juan,Benjamin,001-652-293-9555x189,sarahperez@example.com,Roger Cole,Second-hand Sales,17984,21244,138,0,30,20116,0,823,Offline,Medium,Bank Transfer,1TB,SSD,4GB,7/12/2023,N/A
Africa,Ethiopia,Gambela,GH PC Shop,2,Microsoft,Surface Duo,Melissa,Spencer,(013)017-3093x329,tannerbrian@example.org,Joseph Good,Returns,21691,25935,777,0,165,22602,0,848,Offline,Medium,Cash,500GB,HDD,4GB,2/23/2024,N/A
North America,Illinois,Evanston,DEF Machines,4,Microsoft,Surface Hub,Barbara,Clark,787.658.4883,ydickerson@example.net,Jason Phillips,New Sales,6184,9781,368,0,133,6208,0,413,Offline,Medium,Cash,256GB,HDD,8GB,8/24/2022,N/A
Africa,Ethiopia,Benishangul-Gumuz,CK Tech Store,7,HP,Omen,Ashley,Schneider,872.914.6760,econley@example.org,Christopher Nicholson,Returns,11102,13179,581,0,281,12883,38,573,Offline,Medium,Finance,1TB,HDD,8GB,7/9/2023,N/A
Africa,Nigeria,Bayelsa,DEF Machines,6,Toshiba,Chromebook,Kristina,Martinez,+1-769-703-1309x71197,fdudley@example.org,Mary Shaw,Second-hand Sales,21550,24676,851,0,702,22964,30397,445,Online,High,Finance,500GB,HDD,16GB,8/22/2021,8/28/2021
